"id_publicacao","link_permanente","status_messagem",status_type,Países,Idiomas,status_publicado,"Direcionamento do público","total_publicacao","Vitalício: alcance orgânico da publicação","Vitalício: alcance pago da publicação","Vitalício: total de impressões da publicação","Vitalício: impressões orgânicas da publicação","Vitalício: impressões pagas da publicação","Vitalício: usuários envolvidos","num_pub_corres","Vitalício: consumos de direcionamento do público com correspondência na publicação","Vitalício: comentários negativos dos usuários","Vitalício: feedback negativo","Vitalício: impressões da publicação por pessoas que curtiram sua Página","Vitalício: alcance da publicação por pessoas que curtiram sua Página","Vitalício: impressões pagas da publicação por pessoas que curtiram sua Página","Vitalício: alcance pago de uma publicação por pessoas que curtiram sua Página","Vitalício: pessoas que curtiram sua Página e se envolveram com a sua publicação","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo pagas","Vitalício: visualizações do vídeo pagas","Vitalício: tempo médio de visualização do vídeo","Duração de vídeo vitalícia","num_likes","num_shares","num_comments","Vitalício: histórias da publicação por tipo de ação - like","Vitalício: histórias da publicação por tipo de ação - share","Vitalício: histórias da publicação por tipo de ação - comment","num_other_cliks","num_photo_view","num_link_clicks","num_video_play","Consumos de direcionamento para público correspondente vitalício por tipo - other clicks","num_photo_view","Consumos de direcionamento para público correspondente vitalício por tipo - link clicks","Consumos de direcionamento para público correspondente vitalício por tipo - video play","Vitalício: comentários negativos de usuários por tipo - hide_all_clicks","Vitalício: comentários negativos de usuários por tipo - hide_clicks","Vitalício: feedback negativo por tipo - hide_all_clicks","Vitalício: feedback negativo por tipo - hide_clicks"
218725464821904_1991554060872360,https://www.facebook.com/faculdadecn/posts/1991554060872360,,Photo,,,"03/28/2018 05:00:00 AM"," ",190,190,0,267,267,0,1,0,0,0,0,233,161,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,,
218725464821904_1992921624068937,https://www.facebook.com/faculdadecn/posts/1992921624068937,"Vamos viver o perdão ! Marque nos comentários aquele amigo.",Photo,,,"03/27/2018 02:30:00 PM"," ",184,184,0,267,267,0,15,8,15,0,0,210,142,0,0,13,0,0,0,0,0,0,0,0,0,0,8,1,,8,1,,1,8,,,3,12,,,,,,
218725464821904_1991585970869169,https://www.facebook.com/faculdadecn/posts/1991585970869169,"- COMUNICADO -
No dia 16/04/18 haverá misa de aula inaugural do Curso de Administração, será no auditório São Paulo às 18h20min. 
Neste dia não haverá a missa das 17h45min na Capela do Instituto.",Status,,,"03/26/2018 09:45:47 AM"," ",223,223,0,347,347,0,6,3,4,0,0,313,196,0,0,6,0,0,0,0,0,0,0,0,0,0,3,,,3,,,2,1,,,3,1,,,,,,
218725464821904_1991553797539053,https://www.facebook.com/faculdadecn/posts/1991553797539053,,Photo,,,"03/26/2018 09:13:53 AM"," ",276,276,0,402,402,0,9,7,8,0,0,330,218,0,0,9,0,0,0,0,0,0,0,0,0,0,4,1,,4,1,,2,5,,,3,5,,,,,,
218725464821904_2018207031540396,https://www.facebook.com/faculdadecn/posts/1991553594205740,"Foto da capa de ",Photo,,,"03/26/2018 09:13:38 AM"," ",337,337,0,519,519,0,21,11,11,0,0,397,238,0,0,13,0,0,0,0,0,0,0,0,0,0,10,2,1,11,2,1,2,9,,,2,9,,,,,,
218725464821904_1987107287983704,https://www.facebook.com/faculdadecn/posts/1987107287983704,"Terceiro dia de Simpósio: Como defender a verdade nas mídias sociais.
http://www.fcn.edu.br/blog/2018/03/22/terceiro-dia-de-simposio-como-defender-a-verdade-nas-midias-sociais/",Link,,,"03/22/2018 12:25:15 PM"," ",279,279,0,390,390,0,16,9,9,0,0,262,186,0,0,11,0,0,0,0,0,0,0,0,0,0,10,2,,10,2,,2,2,5,,2,2,5,,,,,
218725464821904_1985585748135858,https://www.facebook.com/faculdadecn/posts/1985585748135858,"Perdeu a transmissão ao vivo do 6º Simpósio Fé e Razão?
Acompanhe todos os dias de evento pelo youtube!
http://www.fcn.edu.br/blog/2018/03/20/transmissao-do-6o-simposio-fe-e-razao/",Link,,,"03/22/2018 05:04:00 AM"," ",174,174,0,255,255,0,1,1,1,0,0,205,143,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,1,,,,,,,
218725464821904_1986010928093340,https://www.facebook.com/faculdadecn/posts/1986010928093340,"Acompanhe a matéria do segundo dia do Simpósio Fé e Razão!
http://www.fcn.edu.br/blog/2018/03/21/segundo-dia-de-simposio-a-necessidade-de-dialogar-fe-e-razao/",Link,,,"03/21/2018 12:43:51 PM"," ",855,855,0,1360,1360,0,38,18,24,0,0,512,296,0,0,18,0,0,0,0,0,0,0,0,0,0,23,7,,33,8,,12,,8,,16,,8,,,,,
218725464821904_1986976127996820,https://www.facebook.com/faculdadecn/posts/1986977587996674,"Terceiro dia do 6° Simpósio Fé e Razão",Photo,,,"03/21/2018 08:00:00 AM"," ",315,315,0,437,437,0,41,39,80,0,0,402,288,0,0,40,0,0,0,0,0,0,0,0,0,0,5,,,5,,,9,38,,,36,44,,,,,,
218725464821904_1985651391462627,https://www.facebook.com/faculdadecn/posts/1985651391462627,"Segunda parte - Terceiro dia do 6° Simpósio Fé e Razão
https://www.youtube.com/watch?v=joXpZg7kfE4",Link,,,"03/21/2018 06:14:28 AM"," ",183,183,0,283,283,0,10,7,7,0,0,236,158,0,0,10,0,0,0,0,0,0,0,0,0,0,5,,1,5,,1,2,,5,,2,,5,,,,,
