"Número de identificação da publicação","Link permanente","Publicar mensagem",Tipo,Países,Idiomas,Publicado,"Direcionamento do público","Vitalício: alcance total da publicação","Vitalício: alcance orgânico da publicação","Vitalício: alcance pago da publicação","Vitalício: total de impressões da publicação","Vitalício: impressões orgânicas da publicação","Vitalício: impressões pagas da publicação","Vitalício: usuários envolvidos","Vitalício: consumidores de direcionamento do público com correspondência na publicação","Vitalício: consumos de direcionamento do público com correspondência na publicação","Vitalício: comentários negativos dos usuários","Vitalício: feedback negativo","Vitalício: impressões da publicação por pessoas que curtiram sua Página","Vitalício: alcance da publicação por pessoas que curtiram sua Página","Vitalício: impressões pagas da publicação por pessoas que curtiram sua Página","Vitalício: alcance pago de uma publicação por pessoas que curtiram sua Página","Vitalício: pessoas que curtiram sua Página e se envolveram com a sua publicação","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo pagas","Vitalício: visualizações do vídeo pagas","Vitalício: tempo médio de visualização do vídeo","Duração de vídeo vitalícia","Vitalício: Falando sobre isso (publicação) por tipo de ação - share","Vitalício: Falando sobre isso (publicação) por tipo de ação - like","Vitalício: Falando sobre isso (publicação) por tipo de ação - comment","Vitalício: histórias da publicação por tipo de ação - share","Vitalício: histórias da publicação por tipo de ação - like","Vitalício: histórias da publicação por tipo de ação - comment","Consumos únicos de direcionamento para público de publicações vitalício por tipo - other clicks","Consumos únicos de direcionamento para público de publicações vitalício por tipo - photo view","Consumos únicos de direcionamento para público de publicações vitalício por tipo - video play","Consumos únicos de direcionamento para público de publicações vitalício por tipo - link clicks","Consumos de direcionamento para público correspondente vitalício por tipo - other clicks","Consumos de direcionamento para público correspondente vitalício por tipo - photo view","Consumos de direcionamento para público correspondente vitalício por tipo - video play","Consumos de direcionamento para público correspondente vitalício por tipo - link clicks","Vitalício: comentários negativos de usuários por tipo - hide_all_clicks","Vitalício: feedback negativo por tipo - hide_all_clicks"
,,,,,,,,"Vitalício: o número de pessoas para as quais a publicação da sua Página apareceu na tela. As publicações incluem status, fotos, links, vídeos e muito mais. (Usuários únicos)","Vitalício: o número de pessoas para as quais a publicação da sua Página apareceu na tela por meio de distribuição não paga. (Usuários únicos)","Vitalício: o número de pessoas para as quais a publicação da sua Página apareceu na tela por meio de distribuição paga, como um anúncio. (Usuários únicos)","Vitalício: o número de vezes que a publicação da sua Página apareceu na tela de uma pessoa. As publicações incluem status, fotos, links, vídeos e muito mais. (Número total)","Vitalício: o número de vezes que as publicações da sua Página apareceram na tela de uma pessoa por meio de distribuição não paga. (Número total)","Vitalício: o número de vezes que a publicação da sua Página apareceu na tela de uma pessoa por meio de distribuição paga, como um anúncio. (Número total)","Vitalício: O número de pessoas únicas que se envolveram de determinadas formas com a publicação da sua Página, por exemplo, comentando, curtindo, compartilhando ou clicando em elementos específicos da publicação. (usuários únicos)","Vitalício: número de pessoas que corresponderam ao direcionamento de público e que clicaram em qualquer lugar da sua publicação no Feed de Notícias. (usuários únicos)","Vitalício: o número de cliques em qualquer lugar da sua publicação no Feed de Notícias do usuário que correspondeu ao direcionamento de público nela. (contagem total)","Vitalício: o número de pessoas que fizeram comentários negativos em sua publicação. (usuários únicos)","Vitalício: o número de vezes que as pessoas fizeram comentários negativos na sua publicação. (contagem total)","Vitalício: o número de impressões da sua publicação na Página para pessoas que curtiram sua Página. (contagem total)","Vitalício: o número de pessoas que viram sua publicação na Página porque curtiram sua Página (usuários únicos)","Vitalício: o número de impressões pagas da sua publicação na Página para pessoas que curtiram sua Página. (contagem total)","Vitalício: o número de pessoas que curtiram sua Página e que viram a publicação da sua Página em um anúncio ou história patrocinada. (usuários únicos)","Vitalício: o número de pessoas que curtiram sua Página e clicaram em qualquer lugar das suas publicações. (usuários únicos)","Vitalício: o número de vezes que seu vídeo foi visualizado até 95% de sua duração sem nenhuma promoção paga. (usuários únicos)","Vitalício: o número de vezes que seu vídeo foi visualizado até 95% de sua duração sem nenhuma promoção paga. (contagem total)","Vitalício: o número de vezes que seu vídeo foi visualizado até 95% de sua duração após uma promoção paga. (usuários únicos)","Vitalício: o número de vezes que seu vídeo foi visualizado até 95% de sua duração após uma promoção paga. (contagem total)","Vitalício: o número de vezes que seu vídeo foi visualizado por mais de 3 segundos sem nenhuma promoção paga. (usuários únicos)","Vitalício: o número de vezes que seu vídeo foi visualizado por mais de 3 segundos sem nenhuma promoção paga. (contagem total)","Vitalício: o número de vezes que seu vídeo foi visualizado por mais de 3 segundos após uma promoção paga. (usuários únicos)","Vitalício: o número de vezes que seu vídeo foi visualizado por mais de 3 segundos após uma promoção paga. (contagem total)","Vitalício: tempo médio de visualização do vídeo (contagem total)","Vitalícia: duração de uma publicação de vídeo (contagem total)","Vitalício: o número de pessoas únicas que criaram um story sobre a publicação da sua Página interagindo com ela. (usuários únicos)",,,"Vitalício: o número de histórias criadas sobre a sua publicação na Página, por tipo de ação. (contagem total)",,,"Vitalício: O número de pessoas que corresponderam ao direcionamento de público na publicação que clicaram em qualquer lugar na publicação no Feed de Notícias, por tipo. (usuários únicos)",,,,"Vitalício: O número de cliques em qualquer lugar na publicação no Feed de Notícias de usuários que corresponderam ao direcionamento de público na publicação, por tipo. (número total)",,,,"Vitalício: o número de vezes que as pessoas fizeram comentários negativos em sua publicação, por tipo. (contagem total)","Vitalício: o número de pessoas que fizeram comentários negativos na sua publicação, por tipo. (usuários únicos)"
218725464821904_2105791462781952,https://www.facebook.com/faculdadecn/posts/2105791462781952,"Estão abertas as inscrições para o curso de extensão: Libras no contexto religioso. 
O curso visa oferecer meios de comunicação para pessoas que atuam na recepção de surdos para atendimentos, orientações e, no caso de sacerdotes, para confissões. 

Garanta sua vaga no link: https://extensao.fcn.edu.br/",Photo,,,"06/29/2018 11:53:28 AM"," ",423,423,0,566,566,0,18,9,9,0,0,415,305,0,0,14,0,0,0,0,0,0,0,0,0,0,2,11,,2,11,,8,1,,,8,1,,,,
218725464821904_2100507703310328,https://www.facebook.com/faculdadecn/posts/2100507703310328,"Alunos dos cursos de Rádio e Tv e Jornalismo participam da visita técnica na Tv Cultura",Photo,,,"06/26/2018 09:33:40 AM"," ",285,285,0,395,395,0,27,11,12,0,0,354,259,0,0,27,0,0,0,0,0,0,0,0,0,0,,19,,,19,,4,8,,,4,8,,,,
218725464821904_2090103924350706,https://www.facebook.com/faculdadecn/posts/2090103924350706,,Photo,,,"06/24/2018 02:00:01 PM"," ",380,380,0,487,487,0,19,3,3,0,0,367,280,0,0,18,0,0,0,0,0,0,0,0,0,0,2,16,,2,16,,1,2,,,1,2,,,,
218725464821904_2090108584350240,https://www.facebook.com/faculdadecn/posts/2090108584350240,"Dica Cultural:
Logo após completar 50 anos, Alice Howland é uma renomada professora universitária de linguística, que durante uma de suas palestras esquece a palavra léxico. Apaixonada pelo estudo da palavra e da comunicação, seu lapso poderia ser justificado pela rotina intensa ou como ela mesma diz, o champanhe da noite passada. Mas Alice também esquece o caminho das corridas, o aniversário de casamento...Baseado no livro &quot;Para sempre Alice&quot; da neurocientista Lisa Genova, o filme mostra o Alzaimeir com um caso raro, fugindo do senso comum sobre a doença.",Photo,,,"06/22/2018 12:00:00 AM"," ",246,246,0,324,324,0,10,6,6,0,0,285,222,0,0,10,0,0,0,0,0,0,0,0,0,0,,8,,,8,,5,1,,,5,1,,,,
218725464821904_2090101251017640,https://www.facebook.com/faculdadecn/posts/2090101251017640,"Estamos na torcida pela aluna Ariane Campos!  🤞🤞

A aluna de jornalismo da FCN Ariane Campos foi indicada ao “Microfone de Prata”, prêmio concedido pela Conferencia Nacional dos Bispos do Brasil (CNBB) às emissoras de rádio católicas no Brasil que comunicam com qualidade a evangelização e a promoção humana. Ariane disputa na categoria religiosa, com o especial: Um Conto de Natal. O programa, exibido pela Rádio Aparecida, conta a história do Nascimento de Jesus nos dias atuais em meio a uma favela.
O resultado da premiação acontecerá no dia 20 de julho, nos estúdios da TV Aparecida. Além do prêmio do prêmio, votado por um júri, este ano haverá menções honrosas aos finalistas. Sendo escolhidas por votação nas redes sociais. Segue abaixo o link para votar no programa da Ariane:

https://www.facebook.com/premioscnbb/posts/1726385630783852

Parabéns Ariane!",Photo,,,"06/20/2018 01:00:01 PM"," ",499,499,0,666,666,0,66,51,62,0,0,593,445,0,0,63,0,0,0,0,0,0,0,0,0,0,1,26,,1,26,,39,15,,,46,16,,,,
218725464821904_2088980341129731,https://www.facebook.com/faculdadecn/posts/2088980341129731,"Aluna Ariane Campos foi indicada ao prêmio “Microfone de Prata”. Votem na obra dando um like ;)

A aluna de jornalismo da FCN Ariane Campos foi indicada ao “Microfone de Prata”, prêmio concedido pela Conferencia Nacional dos Bispos do Brasil (CNBB) às emissoras de rádio católicas no Brasil que comunicam com qualidade a evangelização e a promoção humana. Ariane disputa na categoria religiosa, com o especial: Um Conto de Natal. O programa, exibido pela Rádio Aparecida, conta a história do Nascimento de Jesus nos dias atuais em meio a uma favela.",Photo,,,"06/19/2018 01:11:22 PM"," ",111,111,0,136,136,0,24,20,32,0,0,116,92,0,0,24,0,0,0,0,0,0,0,0,0,0,,6,,,6,,20,5,,,27,5,,,,
218725464821904_2081477908546641,https://www.facebook.com/faculdadecn/posts/2081477908546641,,Photo,,,"06/14/2018 12:51:29 PM"," ",229,229,0,314,314,0,8,2,3,0,0,253,184,0,0,7,0,0,0,0,0,0,0,0,0,0,1,7,1,1,7,1,1,2,,,1,2,,,,
218725464821904_2079536308740801,https://www.facebook.com/faculdadecn/posts/2079536308740801,"&quot;A pobreza faz-nos ricos; a humildade faz-nos livres.&quot; 
Santo Antônio",Photo,,,"06/13/2018 05:50:31 AM"," ",250,250,0,358,358,0,11,3,4,0,0,283,192,0,0,11,0,0,0,0,0,0,0,0,0,0,2,9,,2,9,,2,1,,,3,1,,,,
218725464821904_2078611055499993,https://www.facebook.com/faculdadecn/posts/2078611055499993,,Photo,,,"06/12/2018 12:58:59 PM"," ",186,186,0,260,260,0,9,5,5,0,0,222,157,0,0,9,0,0,0,0,0,0,0,0,0,0,,5,,,5,,2,3,,,2,3,,,,
218725464821904_2077459978948434,https://www.facebook.com/faculdadecn/posts/2077459978948434,,Photo,,,"06/11/2018 11:49:30 AM"," ",273,273,0,396,396,0,14,2,2,0,0,327,216,0,0,13,0,0,0,0,0,0,0,0,0,0,1,12,,1,12,,1,1,,,1,1,,,,
218725464821904_2077232762304489,https://www.facebook.com/faculdadecn/videos/2077232762304489/,"Corre que ainda dá tempo! Veja o recadinho da professora Ioná...
Inscreva seu trabalho em andamento ou concluído no 5º Simpósio de Iniciação Científica 
Acesse: https://extensao.fcn.edu.br/",Video,,,"06/11/2018 07:41:30 AM"," ",243,243,0,349,349,0,31,20,25,0,0,266,171,0,0,27,27,31,0,0,101,121,0,0,6482,17427,1,13,,1,14,,9,,15,,10,,15,,,
218725464821904_2073924159302016,https://www.facebook.com/faculdadecn/posts/2073924159302016,,Photo,,,"06/10/2018 02:00:00 PM"," ",245,245,0,337,337,0,15,4,5,0,0,276,192,0,0,15,0,0,0,0,0,0,0,0,0,0,1,13,,1,14,,3,1,,,4,1,,,,
218725464821904_2073937532634012,https://www.facebook.com/faculdadecn/posts/2073937532634012,"Aproveite o fim de semana para tirar aquele trabalho da gaveta. 
Ele não está concluído? Se inscreva na categoria &quot;Em andamento&quot;.
Os trabalhos aprovados serão publicados nos Anais do evento.
Vai deixar passar essa oportunidade? Vem pro 5º SIC

Acesse: https://extensao.fcn.edu.br/",Photo,,,"06/09/2018 03:00:01 AM"," ",171,171,0,233,233,0,3,1,1,0,0,206,148,0,0,3,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,,,1,,,,1,,
218725464821904_2073829019311530,https://www.facebook.com/faculdadecn/posts/2073829019311530,"A dica cultural de hoje são dois filme que ainda estão nos cinemas! Um deles é &quot;Eu Só Posso Imaginar&quot;. O longa é inspirado em fatos reais sobre o vocalista da banda MercyMe, Bart Millard, e conta a emocionante história por trás da música que dá nome ao filme.

A segunda dica é &quot;Paulo - Apóstolo de Cristo&quot;. O filme mostra a conversão de Saulo enquanto perseguia cristãos no século I, sua prisão pelo império romano por pregar o evangelho e outras passagens marcantes da história do apóstolo.

Vale a pena conferir!&quot; ;)",Photo,,,"06/08/2018 11:18:13 AM"," ",244,244,0,340,340,0,18,6,7,0,0,289,204,0,0,18,0,0,0,0,0,0,0,0,0,0,1,11,,1,12,,6,,,,7,,,,,
218725464821904_2071643762863389,https://www.facebook.com/faculdadecn/videos/2071643762863389/,"E ai, já fez sua inscrição? Mostre seu trabalho no 5º SIC. 
Entre no site: https://extensao.fcn.edu.br/ e escolha sua categoria: 
Em andamento ou Concluído",Video,,,"06/06/2018 12:04:06 PM"," ",153,153,0,253,253,0,10,6,7,0,0,197,116,0,0,8,54,61,0,0,54,61,0,0,2000,2000,,5,,,5,,2,,5,,2,,5,,,
218725464821904_2070401652987600,https://www.facebook.com/faculdadecn/videos/2070401652987600/,"Atenção galera! Saiu mais um Bastidores FCN.  Nós acompanhamos a produção do programa ao vivo Nigth Games do 5º periodo de Rádio e TV.
O vídeo completo está no nosso canal no youtube. ;)

https://youtu.be/CaQxObeec6Q",Video,,,"06/05/2018 10:51:04 AM"," ",1650,1650,0,2512,2512,0,149,119,215,0,0,1036,603,0,0,93,142,168,0,0,438,589,0,0,11500,60350,12,71,6,14,93,9,101,,35,21,150,,44,21,,
218725464821904_2069361173091648,https://www.facebook.com/faculdadecn/posts/2069361173091648,"Estão abertas as inscrições para novos candidatos à Bolsa Universidade, no âmbito do Programa Escola da Família. Confira o regulamento e faça sua inscrição:
http://escoladafamilia.fde.sp.gov.br/default.asp",Photo,,,"06/04/2018 10:49:55 AM"," ",428,428,0,629,629,0,35,15,21,0,0,453,283,0,0,31,0,0,0,0,0,0,0,0,0,0,3,20,1,3,23,1,9,5,,6,10,5,,6,,
218725464821904_2069016386459460,https://www.facebook.com/faculdadecn/posts/2069016386459460,"Em virtude dos acontecimentos recentes, ainda com repercussões significativas, informamos que foi elaborado um novo Calendário Acadêmico, em caráter extraordinário, com ajustes que incidem nos meses de junho e de agosto.  Diante disso, o  5º Simpósio de Iniciação Científica foi adiado para o dia 25/08. As inscrições dos participantes e autores de resumos, bem como a submissão dos trabalhos acontecerão até o dia 11 de junho.

As inscrições serão realizadas através do formulário específico que consta no site: extensao.fcn.edu.br",Photo,,,"06/04/2018 04:41:20 AM"," ",284,284,0,404,404,0,21,16,16,0,0,335,229,0,0,19,0,0,0,0,0,0,0,0,0,0,1,7,,2,7,,13,3,,,13,3,,,,
218725464821904_2063970243630741,https://www.facebook.com/faculdadecn/posts/2063970243630741,,Photo,,,"06/03/2018 05:00:01 AM"," ",567,567,0,792,792,0,39,7,7,0,0,394,258,0,0,20,0,0,0,0,0,0,0,0,0,0,3,33,,3,34,,3,4,,,3,4,,,,
